Date_of_Booking,Day_of_Booking,Source_Airport,Destination_Airport,Airline_Name,Airline_Code,Price,Travel_Date_From,Travel_Date_To
2/11/2022,Friday,SFO,DFW,Southwest Airlines,SW 5321,158,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,Alaska Airlines,AA 417,123,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,Frontier Airlines,F9 2711,151,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,Delta Airlines,DL678,145,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,United Airlines,UA1785,147,5/23/2022,6/22/2022
2/11/2022,Friday,SFO,DFW,American Airlines,AA 2914,121,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2710,153,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,Delta Airlines,DL679,146,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,United Airlines,UA 1765,148,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,American Airlines,AA 2904,145,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,Southwest Airlines,SW 5321,146,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,Alaska Airlines,AA 417,152,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2711,164,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,Delta Airlines,DL678,147,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,United Airlines,UA1785,157,5/23/2022,6/22/2022
2/12/2022,Saturday,SFO,DFW,American Airlines,AA 2914,154,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2710,163,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,Delta Airlines,DL679,144,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,United Airlines,UA 1765,166,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,American Airlines,AA 2904,130,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,Southwest Airlines,SW 5321,138,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,Alaska Airlines,AA 417,160,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2711,164,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,Delta Airlines,DL678,159,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,United Airlines,UA1785,168,5/23/2022,6/22/2022
2/13/2022,Sunday,SFO,DFW,American Airlines,AA 2914,139,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,Frontier Airlines,F9 2710,124,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,Delta Airlines,DL679,120,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,United Airlines,UA 1765,117,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,American Airlines,AA 2904,144,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,Southwest Airlines,SW 5321,138,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,Alaska Airlines,AA 417,137,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,Frontier Airlines,F9 2711,121,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,Delta Airlines,DL678,126,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,United Airlines,UA1785,110,5/23/2022,6/22/2022
2/14/2022,Monday,SFO,DFW,American Airlines,AA 2914,130,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2710,103,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,Delta Airlines,DL679,109,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,United Airlines,UA 1765,78,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,American Airlines,AA 2904,81,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,Southwest Airlines,SW 5321,81,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,Alaska Airlines,AA 417,73,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2711,101,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,Delta Airlines,DL678,109,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,United Airlines,UA1785,110,5/23/2022,6/22/2022
2/15/2022,Tuesday,SFO,DFW,American Airlines,AA 2914,105,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2710,86,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,Delta Airlines,DL679,94,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,United Airlines,UA 1765,112,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,American Airlines,AA 2904,82,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,Southwest Airlines,SW 5321,106,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,Alaska Airlines,AA 417,81,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2711,99,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,Delta Airlines,DL678,85,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,United Airlines,UA1785,86,5/23/2022,6/22/2022
2/16/2022,Wednesday,SFO,DFW,American Airlines,AA 2914,86,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2710,146,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,Delta Airlines,DL679,115,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,United Airlines,UA 1765,148,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,American Airlines,AA 2904,115,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,Southwest Airlines,SW 5321,148,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,Alaska Airlines,AA 417,111,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2711,115,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,Delta Airlines,DL678,118,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,United Airlines,UA1785,140,5/23/2022,6/22/2022
2/17/2022,Thursday,SFO,DFW,American Airlines,AA 2914,137,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,Frontier Airlines,F9 2710,134,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,Delta Airlines,DL679,154,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,United Airlines,UA 1765,120,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,American Airlines,AA 2904,134,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,Southwest Airlines,SW 5321,129,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,Alaska Airlines,AA 417,155,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,Frontier Airlines,F9 2711,148,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,Delta Airlines,DL678,140,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,United Airlines,UA1785,151,5/23/2022,6/22/2022
2/18/2022,Friday,SFO,DFW,American Airlines,AA 2914,144,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2710,157,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,Delta Airlines,DL679,141,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,United Airlines,UA 1765,141,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,American Airlines,AA 2904,166,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,Southwest Airlines,SW 5321,136,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,Alaska Airlines,AA 417,150,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2711,144,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,Delta Airlines,DL678,134,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,United Airlines,UA1785,157,5/23/2022,6/22/2022
2/19/2022,Saturday,SFO,DFW,American Airlines,AA 2914,154,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2710,144,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,Delta Airlines,DL679,131,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,United Airlines,UA 1765,165,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,American Airlines,AA 2904,166,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,Southwest Airlines,SW 5321,170,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,Alaska Airlines,AA 417,170,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2711,141,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,Delta Airlines,DL678,163,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,United Airlines,UA1785,161,5/23/2022,6/22/2022
2/20/2022,Sunday,SFO,DFW,American Airlines,AA 2914,149,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,Frontier Airlines,F9 2710,118,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,Delta Airlines,DL679,148,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,United Airlines,UA 1765,121,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,American Airlines,AA 2904,125,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,Southwest Airlines,SW 5321,135,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,Alaska Airlines,AA 417,113,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,Frontier Airlines,F9 2711,133,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,Delta Airlines,DL678,132,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,United Airlines,UA1785,148,5/23/2022,6/22/2022
2/21/2022,Monday,SFO,DFW,American Airlines,AA 2914,113,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2710,107,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,Delta Airlines,DL679,75,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,United Airlines,UA 1765,93,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,American Airlines,AA 2904,107,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,Southwest Airlines,SW 5321,89,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,Alaska Airlines,AA 417,83,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2711,105,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,Delta Airlines,DL678,103,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,United Airlines,UA1785,91,5/23/2022,6/22/2022
2/22/2022,Tuesday,SFO,DFW,American Airlines,AA 2914,85,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2710,87,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,Delta Airlines,DL679,84,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,United Airlines,UA 1765,120,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,American Airlines,AA 2904,116,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,Southwest Airlines,SW 5321,111,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,Alaska Airlines,AA 417,105,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,Frontier Airlines,F9 2711,91,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,Delta Airlines,DL678,83,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,United Airlines,UA1785,90,5/23/2022,6/22/2022
2/23/2022,Wednesday,SFO,DFW,American Airlines,AA 2914,120,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2710,127,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,Delta Airlines,DL679,132,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,United Airlines,UA 1765,136,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,American Airlines,AA 2904,145,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,Southwest Airlines,SW 5321,131,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,Alaska Airlines,AA 417,123,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,Frontier Airlines,F9 2711,148,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,Delta Airlines,DL678,145,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,United Airlines,UA1785,128,5/23/2022,6/22/2022
2/24/2022,Thursday,SFO,DFW,American Airlines,AA 2914,145,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,Frontier Airlines,F9 2710,126,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,Delta Airlines,DL679,140,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,United Airlines,UA 1765,121,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,American Airlines,AA 2904,136,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,Southwest Airlines,SW 5321,135,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,Alaska Airlines,AA 417,150,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,Frontier Airlines,F9 2711,123,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,Delta Airlines,DL678,138,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,United Airlines,UA1785,132,5/23/2022,6/22/2022
2/25/2022,Friday,SFO,DFW,American Airlines,AA 2914,160,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2710,156,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,Delta Airlines,DL679,153,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,United Airlines,UA 1765,148,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,American Airlines,AA 2904,133,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,Southwest Airlines,SW 5321,156,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,Alaska Airlines,AA 417,148,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,Frontier Airlines,F9 2711,151,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,Delta Airlines,DL678,132,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,United Airlines,UA1785,156,5/23/2022,6/22/2022
2/26/2022,Saturday,SFO,DFW,American Airlines,AA 2914,145,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2710,131,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,Delta Airlines,DL679,160,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,United Airlines,UA 1765,149,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,American Airlines,AA 2904,152,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,Southwest Airlines,SW 5321,165,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,Alaska Airlines,AA 417,158,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,Frontier Airlines,F9 2711,168,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,Delta Airlines,DL678,157,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,United Airlines,UA1785,166,5/23/2022,6/22/2022
2/27/2022,Sunday,SFO,DFW,American Airlines,AA 2914,165,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,Frontier Airlines,F9 2710,133,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,Delta Airlines,DL679,128,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,United Airlines,UA 1765,133,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,American Airlines,AA 2904,150,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,Southwest Airlines,SW 5321,137,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,Alaska Airlines,AA 417,148,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,Frontier Airlines,F9 2711,139,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,Delta Airlines,DL678,127,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,United Airlines,UA1785,123,5/23/2022,6/22/2022
2/28/2022,Monday,SFO,DFW,American Airlines,AA 2914,142,5/23/2022,6/22/2022
3/1/2022,Tuesday,SFO,DFW,Frontier Airlines,F9 2710,150,5/23/2022,6/22/2022
3/1/2022,Tuesday,SFO,DFW,Delta Airlines,DL679,124,5/23/2022,6/22/2022
